rating,roaster,bean,location,origin,roast_level,agtron,est_price,review_date,aroma,body,flavor,aftertaste,with_milk,acid_structure,acidity,blind_assessment,notes,who_should_drink,bottom_line
93,Kakalove Cafe,Golden Parrot Blend,"Chia-Yi, Taiwan","Guatemala, Ethiopia, Colombia",Medium-Light,52/73,NT $230/8 ounces,2026-03-01,8,9,9,8,9,,,"Evaluated as espresso. Brightly sweet, fruit-accented. Baking chocolate, red apple, lime zest, caramel and chamomile in aroma and small cup. Smooth, velvety mouthfeel; gentle, chocolaty finish. In cappuccino format, caramel and milk chocolate are amplified, with complex citrus undertones.","A blend of coffees from Guatemala, Ethiopia and Colombia, roasted for espresso applications. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email kahiyuho@gmail.com for more information.",,"A lively, well-rounded espresso blend that pairs tart fruit with chocolate sweetness, offering versatility and easy drinkability both straight and with milk."
93,Kakalove Cafe,Black Meow Blend Espresso,"Chia-Yi, Taiwan","Guatemala, Colombia, Ethiopia",Medium,46/72,NT $230/8 ounces,2026-03-01,9,8,9,8,9,,,"Evaluated as espresso. Richly aromatic, chocolaty. Dark chocolate, roasted hazelnut, date, pink grapefruit zest and cedar in aroma and small cup. Full, sturdy mouthfeel; balanced bittersweet finish. In cappuccino format, chocolate and nut tones deepen, supported by soft caramel.","A blend of coffees from Guatemala, Colombia and Ethiopia, roasted for espresso applications. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email kahiyuho@gmail.com for more information.",,"A darker-leaning espresso blend that delivers satisfying chocolate depth and sturdy structure, performing especially well in cappuccino format."
94,Kakalove Cafe,Marshmallow Blend Espresso,"Chia-Yi, Taiwan","Ethiopia, Guatemala",Medium-Light,58/77,NT $320/8 ounces,2026-03-01,9,9,9,8,9,,,"Evaluated as espresso. Softly sweet, chocolate-forward. Baking chocolate, roasted almond, tangerine zest, honey and freesia in aroma and small cup. Creamy, rounded mouthfeel; crisp, sweet finish. In cappuccino format, the profile softens into milk chocolate and almond with a distinct citrus lift.","A blend of coffees from Ethiopia and Guatemala, roasted for espresso applications. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email kahiyuho@gmail.com for more information.",,"A plush, milk-friendly espresso that balances cocoa sweetness and gentle fruit brightness, living up to its name with a soft, confection-like smoothness."
94,Bear Lake Coffee,México Finca Fátima Natural HG,"Barronett, Wisconsin","Coatepec, Veracruz, Mexico",Medium-Light,61/78,$22.00/12 ounces,2026-02-01,9,9,9,8,,9,,"Deeply sweet, fruit-forward. Black cherry, baking chocolate, tamarind, almond butter and tangerine zest in aroma and cup. Juicy, balanced acidity; round, syrupy body. The resonant finish lingers with notes of baking chocolate and sweet citrus.","Produced by Ernesto Perez and Givette Perez Orea of Finca Fátima, from trees of the Garnica, Marsellesa and Typica varieties of Arabica, and processed by the natural method (dried in the whole fruit). Bear Lake Coffee Co., a B Corp-certified coffeehouse and roastery located in Barronett, Wisconsin, is committed to sustainability through its Coffee with a Purpose™ initiative, which ensures that farmers receive compensation well above the Fairtrade Premium for their exceptional small-batch coffee. Visit www.bearlakecoffee.com for more information.",,A beautifully structured Mexico natural from Veracruz that balances lush fruit and chocolate depth with poised acidity and a satisfyingly plush mouthfeel.
94,Bear Lake Coffee,Costa Rica Hacienda La Minita Harry Odio,"Barronett, Wisconsin","Los Santos, Tarrazú, Costa Rica",Light,62/82,$18.00/12 ounces,2026-02-01,9,9,9,9,,8,,"Refined, cocoa-toned and gently floral. Red plum, baking chocolate, hazelnut, freesia and sweet lime in aroma and cup. Smooth, rounded acidity; full, creamy body. The finish is long and harmonious, carrying sweet nut and citrus zest notes.","Produced by Harry Odio of Hacienda La Minita, from trees of the Bourbon and Caturra varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Bear Lake Coffee Co., a B Corp-certified coffeehouse and roastery located in Barronett, Wisconsin, is committed to sustainability through its Coffee with a Purpose™ initiative, which ensures that farmers receive compensation well above the Fairtrade Premium for their exceptional small-batch coffee. Visit www.bearlakecoffee.com for more information.",,"A classic Tarrazú profile delivered with elegance — chocolate-driven, quietly complex and beautifully balanced."
95,Bear Lake Coffee,Ethiopia Sidama Faysel Abdosh Karamo Anaerobic Natural,"Barronett, Wisconsin","Chericho, Sidamo growing region, Ethiopia",Light,64/87,$32.00/12 ounces,2026-02-01,9,9,9,9,,9,,"Intensely aromatic, multilayered. Pineapple, blueberry, violet, cocoa nib and candied ginger in aroma and cup. Bright, fruit-saturated acidity; plush, velvety-smooth mouthfeel. The finish is long and resonant, echoing tropical fruit and cocoa sweetness.","Produced by Faysel Abdosh, from trees of the 774110 and 74158 varieties of Arabica, and processed at the Karamo Washing Station by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying. Bear Lake Coffee Co., a B Corp-certified coffeehouse and roastery located in Barronett, Wisconsin, is committed to sustainability through its Coffee with a Purpose™ initiative, which ensures that farmers receive compensation well above the Fairtrade Premium for their exceptional small-batch coffee. Visit www.bearlakecoffee.com for more information.",,"A vivid anaerobic Ethiopia — opulent yet controlled, with saturated fruit character framed by delicate florals and a polished structure."
93,Utopian Coffee,Colombia Edwin Noreña Natural (Raspberry Coferment),"Fort Wayne, Indiana","Circasia Municipality, Quindio Department, Colombia",Light,63/86,$13.50/4 ounces,2026-02-01,9,9,9,8,,8,,"Vibrantly fruit-saturated. Raspberry jam, dark chocolate, hibiscus, blood orange zest and red grape in aroma and cup. Briskly sweet acidity; syrupy-plush body. The finish is long and sweetly tart, carrying raspberry and cocoa depth.","Sold as a two-pack at $27.00/8 ounces with another cofermented coffee from the same farm. Produced by Edwin Noreña, entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit) with the addition of raspberry to the whole coffee fruit. Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information.",,A boldly expressive coferment that foregrounds vivid raspberry notes while retaining enough chocolate structure to keep the profile balanced and compelling.
94,Utopian Coffee,Colombia Edwin Noreña Honey (Peach Coferment),"Fort Wayne, Indiana","Circasia Municipality, Quindio Department, Colombia",Light,64/88,$13.50/4 ounces,2026-02-01,9,9,9,9,,8,,"Lush, stone fruit-driven. Ripe peach, lemon verbena, honeysuckle, cocoa nib and candied orange zest in aroma and cup. Gently bright, rounded acidity; creamy-smooth body. The finish lingers with peach sweetness and pretty cocoa undertones into the long.","Sold as a two-pack at $27.00/8 ounces with another cofermented coffee from the same farm. Produced by Edwin Noreña, entirely of the Caturra variety of Arabica, and processed by the honey method (in which some of the fruit flesh is left on during the drying process) with the addition of peach to the partially pulped coffee fruit. Produced by Edwin Noreña, Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information.",,"A generously aromatic peach coferment that integrates fruit sweetness with cocoa depth for a harmonious, dessert-like cup with playful balance."
93,Paradise Roasters,Vietnam Liberica Anaerobic Natural Project 96b,"Hilo, Hawai’i Island, Hawai’i","Quảng Trị, Vietnam",Light,61/85,$40.00/4 ounces,2026-02-01,9,9,9,8,,8,,"Very sweet, uniquely composed. Butterscotch, almond, baking chocolate, lychee, marjoram in aroma and cup. Briskly sweet acidity; satiny-smooth mouthfeel. Butterscotch and marjoram notes carry the finish.","Produced by smallholding farmers of the Htx Nông Nghiệp Sinh Thái Bốn Phương cooperative, in partnership with 96b Cafe and Roastery in Ho Chi Minh City, entirely of the Liberica species, and processed by the anaerobic fermentation method, in which the whole fruit is fermented with limited oxygen before drying. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 808-498-4048 for more information.",,"An impressive Vietnam Liberica, richly sweet and multilayered — enigmatic in a most inviting way."
95,Paradise Roasters,California Santa Barbara Geisha,"Hilo, Hawai’i Island, Hawai’i","Carpinteria, Santa Barbara County, California, United States",Light,64/88,$75.00/40 grams,2026-02-01,9,9,9,9,,9,,"Elegant, bright, balanced, floral-toned. Narcissus, cocoa nib, red plum, lemon verbena, bergamot in aroma and cup. High-toned, juicy acidity; silky, viscous mouthfeel. Long, resonant, lingerie finish that fulfills the promise of the cup.","Produced at Finca 1890, entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying) with the addition of Lalcafe Intenso yeast to the fermentation. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 808-498-4048 for more information.",,"This exuberant and lush California Geisha will rewrite your notion of Geisha grown in the U.S. with its rich florality, joyful complexity, and classic composition."
93,Caldi Cafe,Calico Cat Blend,"Taoyuan City, Taiwan",Ethiopia; Costa Rica; Brazil,Medium-Light,57/73,NT $350/227 grams,2026-02-01,9,9,9,8,,8,,"Harmonious, sweetly balanced. Red apple, milk chocolate, tangerine zest, freesia, hazelnut in aroma and cup. Soft, round acidity; velvety-smooth mouthfeel. The finish is crisply nut-toned, with citrus highlights.","A blend of coffees from three origins: Ethiopia,  Costa Rica and Brazil. Caldi Cafe is a specialty coffee roaster in Taoyuan City, Taiwan. For more information, visit Caldi Cafe’s MyShip page.",,"A three-origin blend that integrates fruit brightness and chocolate richness into a smooth, approachable, inviting cup."
95,Caldi Cafe,Ethiopia Washed Guji Bishala G1 Lot 25/03,"Taoyuan City, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,64/86,NT $420/227 grams,2026-02-01,9,9,9,9,,9,,"Delicately floral, citrus-laced. White peach, jasmine, Meyer lemon zest, almond and cocoa nib in aroma and cup. Bright, refined acidity; smooth, lightly syrupy mouthfeel. The finish is crisp and layered, with lingering citrus and floral sweetness.","Produced by smallholding farmers, from local landrace varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Imported by Pebble Coffee. Caldi Cafe is a specialty coffee roaster in Taoyuan City, Taiwan. For more information, visit Caldi Cafe’s MyShip page.",,A finely articulated washed Guji that balances high-toned florals and citrus clarity with gentle nut and cocoa depth.
95,Coffee Cycle Roasting,Colombia Nestor Lasso El Diviso DF Caturra,"San Diego, California","Huila Department, Colombia",Light,65/87,$18.00/250 grams,2026-02-01,9,9,9,9,,9,,"Intensely aromatic, intricately layered. Blood orange, red currant, hibiscus, panela and cocoa nib in aroma and cup. Bright, wine-toned acidity; plush, syrupy body. The finish is long and resonant, echoing citrus zest, dark berry, and sweet ferment undertones.","Produced by Nestor Lasso of Finca El Diviso, entirely of the Caturra variety of Arabica, and processed by the double-anaerobic washed method, with the addition of mossto from a previous fermentation to the current batch. Coffee Cycle Roasting is a San Diego-based specialty roaster founded by cycling enthusiasts. Visit www.coffeecycleroasting.com for more information.",,"A boldly expressive, fermentation-driven Caturra that delivers vivid fruit complexity and transparent structure while maintaining impressive clarity and balance."
96,JBC Coffee Roasters,San Antonio Geisha,"Madison, Wisconsin","Medina Espejo, Nariño Department, Colombia",Medium-Light,58/77,$28.00/8 ounces,2026-02-01,9,9,10,9,,9,,"Radiant, high-toned, intricately floral. Kiwi, orange blossom, white nectarine, cocoa nib, bay leaf in aroma and cup. Sparkling acidity; buoyant, silky-smooth body. The finish is long and perfumed, echoing citrus blossom and complex fruit tart-sweetness.","Produced by Nilson López, entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"A lyrical, vividly expressive washed Geisha that layers radiant citrus and complex fruit with delicate floral aromas and flavors."
93,Mystic Monk Coffee,Easter Sunrise Blend,"Clark, Wyoming",Ethiopia; South America,Medium-Light,52/74,$16.95/12 ounces,2026-02-01,9,9,9,8,,8,,"Richly chocolaty, deeply sweet. Baking chocolate, magnolia, pink grapefruit, pistachio and cedar in aroma and cup. Gently brisk acidity; full, satiny mouthfeel. Very chocolaty, floral-toned finish.",A blend of coffees from Ethiopia and South America. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.,,"A consistently satisfying blend, year in and year out, designed to celebrate Easter — chocolaty, floral, nutty and sweetly citrusy — and an excellent value."
94,Bargain Cafe,Golden Glow of Fruity Isles Espresso,"Taitung, Taiwan",Colombia; Ethiopia,Light,60/87,NT $450/200 grams,2026-02-01,9,9,9,8,9,,,"Evaluated as espresso. Fruit-sweet, subtly chocolaty. Raspberry, almond butter, dark chocolate, cedar, mandarin zest in aroma and small cup. Plush, syrupy mouthfeel; berry-toned finish. As cappuccino, sweet-tart raspberry and crisp chocolate commingle.","A blend of three coffees: a Colombia coferment, and Ethiopia natural and an Ethiopia anaerobic. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit www.bargain-cafe.com for more information.",,"A complex, layered, berry-toned and chocolaty espresso blend, satisfying in both the straight shot and in milk."
95,Bargain Cafe,Colombia Flor Lichi Pro,"Taitung, Taiwan",Colombia,Light,66/88,NT $600/200 grams,2026-02-01,9,9,9,9,,9,,"Rich-toned, deeply floral. Ginger blossom, plumeria, cocoa nib, pink grapefruit, thyme in aroma and cup. Vibrant, sparkling acidity; little silky mouthfeel. Resonant, very long, flavor-saturated finish.","A blend of two coffees: a washed Colombia Geisha and a fermented Colombia Pink Bourbon. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit www.bargain-cafe.com for more information.",,"This unabashed floral bomb is rife with notes of tropical flowers (ginger, plumeria) and gets ballast from crisp cocoa nib and sweet citrus."
94,JBC Coffee Roasters,Deysi Manayay Tocto,"Madison, Wisconsin","Cajamarca Department, Peru",Medium-Light,58/78,$29.00/12 ounces,2026-02-01,9,9,9,9,,8,,"Balanced, rich-toned, deeply sweet. Dark chocolate, red plum, toffee, hazelnut, magnolia in aroma and cup. Gently bright acidity; creamy-viscous mouthfeel. Long, lingering finish that fulfills the promise of the cup.","Produced by Deysi Manayay Tocto of the PAWQARA: Mujeres Fuertes y Resilientes Cooperative, entirely of the Caturra variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"This women-farmed coffee is a standout washed Peru with notes of stone fruit, deep chocolate and rich nuts, all on high volume — a coffee that’s more than the sum of its parts."
93,Dou Zhai Coffee & Roastery,Panama Boquete El Trompo Geisha Natural (Sky Project 2000+),"Taichung, Taiwan","Boquete, Panama",Light,65/89,"NT $1,000/20 grams",2026-03-01,9,9,9,8,,8,,"Invitingly aromatic, fruit-saturated. Guava, strawberry, orange blossom, pink grapefruit zest and cocoa nib in aroma and cup. Briskly sweet-tart acidity; silky, vibrant mouthfeel. The finish tapers gently, centering around tropical fruit sweetness and faint cocoa depth.","Produced at Finca El Trompo, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Imported by Tri-Up Coffee. Dou Zhai Coffee & Roastery is a Taiwan-based specialty coffee roaster and cafe. Visit www.douzhaicafe.com for more information.",,"A delicate Panama Geisha natural with aromatic lift and ripe fruit sweetness, delivering subtle depth."
93,Boon Boona Coffee,Bereka Blend,"Seattle, Washington",Ethiopia; Tanzania,Medium-Light,52/74,$19.00/12 ounces,2026-02-01,9,9,9,8,,8,,"Cocoa-toned, sweetly herbaceous. Cocoa powder, black sage, date, freesia and fresh-cut oak in aroma and cup. Richly bittersweet structure with rounded acidity; velvety-smooth mouthfeel. Sweetly nut-toned and floral finish.","A blend of washed coffees from Ethiopia and Tanzania. Boon Boona Coffee, founded by Efrem Fesaha, is a Seattle-based coffee roaster that specializes in coffees from East Africa. Visit www.boonboona.com for more information.",,"A deep-toned East African blend that emphasizes cocoa richness and herbal sweetness, balancing exuberance and restraint."
94,Pine Coffee Supply,Seriously Fun,"Boise, Idaho","Palestina, Huila Department, Colombia",Light,65/87,$30.00/12 ounces,2026-02-01,9,8,9,9,,9,,"Bold, juicy, floral-toned. Magnolia, kumquat, raw chocolate, pistachio, Concord grape in aroma and cup. Sweet-tart acidity; lightly satiny mouthfeel. Citrusy, floral-toned finish.","Produced by Marlon Rojas of Finca La Reserva, entirely of the Bourbon variety of Arabica, and processed by an anaerobic cofermentation method, in which whole cherries are fermented with passionfruit in an oxygen-free environment. Pine Coffee Supply is a specialty roaster based in Boise, Idaho. Visit www.pinecoffeesupply.com for more information.",,An expressive passionfruit coferment that amplifies vivid aromatics and playful fruit layered over a grounded chocolate base.
